Ref_Date,GEO,LEVEL,SOURCE,STATS,Value
2000,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,49
2005,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,45
2010,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates who owed debt to the source,43
2000,Canada,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",12
2005,Canada,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",14
2010,Canada,College,Graduates who owed money for their education to any source (government or non-government),"Percentage of graduates with large debt at graduation ($25,000 and over)",16
2000,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),12700
2005,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),13600
2010,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt owed to the source at time of graduation (dollars),14900
2000,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,20
2005,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,23
2010,Canada,College,Graduates who owed money for their education to any source (government or non-government),Percentage of graduates with debt who had paid it off  at time of interview,36
2000,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),10600
2005,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),11800
2010,Canada,College,Graduates who owed money for their education to any source (government or non-government),Average debt remaining at time of interview for those who still owed (dollars),12300
2000,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,41
2005,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,34
2010,Canada,College,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,30
